,age,job,marital,education,default,housing,loan,month,day_of_week,duration,campaign,pdays,previous,poutcome,cons.price.idx,euribor3m
38,41,13,3,9,0,1,0,5,1,577,1,999,0,2,93.994,4.857
39,56,4,3,3,0,1,0,5,1,137,1,999,0,2,93.994,4.857
40,58,9,4,9,0,1,0,5,1,366,1,999,0,2,93.994,4.857
41,32,11,3,6,0,1,0,5,1,314,1,999,0,2,93.994,4.857
42,38,13,1,8,0,0,0,5,1,160,1,999,0,2,93.994,4.857
43,57,13,3,9,0,0,1,5,1,212,1,999,0,2,93.994,4.857
44,44,13,3,9,2,1,0,5,1,188,1,999,0,2,93.994,4.857
45,42,4,1,8,2,0,0,5,1,22,1,999,0,2,93.994,4.857
46,57,13,3,9,0,1,1,5,1,616,1,999,0,2,93.994,4.857
47,40,12,3,5,0,0,1,5,1,178,1,999,0,2,93.994,4.857
48,35,13,3,9,0,1,0,5,1,355,1,999,0,2,93.994,4.857
49,45,12,3,5,0,1,0,5,1,225,2,999,0,2,93.994,4.857
50,54,13,3,6,0,0,0,5,1,160,1,999,0,2,93.994,4.857
51,39,10,3,3,0,0,1,5,1,266,1,999,0,2,93.994,4.857
52,60,13,3,6,0,0,0,5,1,253,1,999,0,2,93.994,4.857
53,53,13,1,8,0,0,0,5,1,179,1,999,0,2,93.994,4.857
54,55,12,3,3,2,0,0,5,1,269,2,999,0,2,93.994,4.857
55,55,4,3,8,2,1,0,5,1,135,1,999,0,2,93.994,4.857
56,50,9,3,9,2,0,1,5,1,161,1,999,0,2,93.994,4.857
57,45,6,3,6,2,1,0,5,1,787,1,999,0,2,93.994,4.857
58,55,2,3,8,2,1,1,5,1,145,1,999,0,2,93.994,4.857
59,25,4,1,9,0,1,0,5,1,174,1,999,0,2,93.994,4.857
60,47,11,3,9,2,0,0,5,1,449,1,999,0,2,93.994,4.857
61,51,12,3,5,0,1,0,5,1,812,1,999,0,2,93.994,4.857
62,42,12,3,4,2,1,0,5,1,164,1,999,0,2,93.994,4.857
63,42,12,3,4,2,0,0,5,1,366,1,999,0,2,93.994,4.857
64,48,13,3,6,0,0,0,5,1,357,1,999,0,2,93.994,4.857
65,37,13,3,9,0,0,0,5,1,232,1,999,0,2,93.994,4.857
66,44,12,1,5,0,1,0,5,1,91,1,999,0,2,93.994,4.857
67,33,13,3,0,0,1,0,5,1,273,1,999,0,2,93.994,4.857
68,56,13,3,5,0,1,0,5,1,158,2,999,0,2,93.994,4.857
69,44,12,1,3,2,1,1,5,1,177,1,999,0,2,93.994,4.857
70,41,9,3,4,0,0,0,5,1,200,1,999,0,2,93.994,4.857
71,44,9,2,9,0,1,0,5,1,172,1,999,0,2,93.994,4.857
72,47,13,3,9,2,1,0,5,1,176,1,999,0,2,93.994,4.857
73,57,3,3,0,2,0,0,5,1,211,1,999,0,2,93.994,4.857
74,37,13,3,9,2,1,0,5,1,214,1,999,0,2,93.994,4.857
75,41,12,2,3,2,1,0,5,1,1575,1,999,0,2,93.994,4.857
76,55,4,3,9,0,0,0,5,1,349,1,999,0,2,93.994,4.857
77,33,6,3,6,2,1,0,5,1,337,2,999,0,2,93.994,4.857
78,55,9,3,0,2,1,0,5,1,272,1,999,0,2,93.994,4.857
79,42,12,3,5,2,0,0,5,1,208,1,999,0,2,93.994,4.857
80,50,12,3,3,2,1,0,5,1,193,1,999,0,2,93.994,4.857
81,51,12,3,3,2,2,2,5,1,212,1,999,0,2,93.994,4.857
82,38,13,3,6,2,0,0,5,1,165,2,999,0,2,93.994,4.857
83,49,11,3,9,2,1,0,5,1,1042,1,999,0,2,93.994,4.857
84,38,4,1,9,0,0,1,5,1,20,1,999,0,2,93.994,4.857
85,31,13,2,6,0,0,0,5,1,246,1,999,0,2,93.994,4.857
86,41,9,3,4,0,0,0,5,1,529,2,999,0,2,93.994,4.857
87,39,13,3,9,0,1,1,5,1,192,1,999,0,2,93.994,4.857
88,49,4,3,5,0,0,0,5,1,1467,1,999,0,2,93.994,4.857
89,34,13,3,6,0,1,0,5,1,188,2,999,0,2,93.994,4.857
90,35,13,3,9,0,1,0,5,1,180,2,999,0,2,93.994,4.857
91,57,3,3,0,2,1,0,5,1,48,1,999,0,2,93.994,4.857
92,60,13,3,0,2,0,1,5,1,213,2,999,0,2,93.994,4.857
93,33,2,3,5,0,0,0,5,1,545,1,999,0,2,93.994,4.857
94,42,12,3,4,0,0,1,5,1,583,1,999,0,2,93.994,4.857
95,45,6,3,8,0,1,0,5,1,221,1,999,0,2,93.994,4.857
96,42,9,3,9,0,0,0,5,1,426,1,999,0,2,93.994,4.857
97,53,13,2,9,2,0,0,5,1,287,1,999,0,2,93.994,4.857
98,37,4,1,8,0,0,0,5,1,197,1,999,0,2,93.994,4.857
99,44,12,3,4,0,0,0,5,1,257,1,999,0,2,93.994,4.857
100,54,6,3,0,0,1,0,5,1,229,1,999,0,2,93.994,4.857
101,49,12,3,3,0,0,0,5,1,55,3,999,0,2,93.994,4.857
102,54,6,3,0,0,0,0,5,1,400,1,999,0,2,93.994,4.857
103,52,13,2,9,0,0,0,5,1,197,1,999,0,2,93.994,4.857
104,52,13,2,9,0,0,0,5,1,190,1,999,0,2,93.994,4.857
105,43,6,1,6,2,0,0,5,1,21,1,999,0,2,93.994,4.857
106,34,10,3,4,0,1,0,5,1,300,2,999,0,2,93.994,4.857
107,35,13,3,6,0,1,0,5,1,123,2,999,0,2,93.994,4.857
108,42,11,3,0,2,1,0,5,1,293,1,999,0,2,93.994,4.857
109,43,4,3,0,2,1,1,5,1,325,1,999,0,2,93.994,4.857
110,60,8,2,9,2,0,0,5,1,514,1,999,0,2,93.994,4.857
111,58,2,3,3,2,0,0,5,1,849,2,999,0,2,93.994,4.857
112,35,6,2,6,0,1,0,5,1,194,1,999,0,2,93.994,4.857
113,55,12,3,5,2,1,0,5,1,212,2,999,0,2,93.994,4.857
114,37,9,3,9,0,0,0,5,1,337,2,999,0,2,93.994,4.857
115,36,12,3,6,0,0,0,5,1,286,1,999,0,2,93.994,4.857
116,52,13,2,9,0,0,0,5,1,247,2,999,0,2,93.994,4.857
117,57,12,2,0,2,1,0,5,1,518,1,999,0,2,93.994,4.857
118,56,13,3,0,0,1,0,5,1,364,1,999,0,2,93.994,4.857
119,48,12,2,3,2,1,0,5,1,178,1,999,0,2,93.994,4.857
120,40,12,3,6,2,1,0,5,1,98,1,999,0,2,93.994,4.857
121,49,12,2,6,0,0,0,5,1,439,1,999,0,2,93.994,4.857
122,41,6,3,6,0,0,0,5,1,139,1,999,0,2,93.994,4.857
123,45,4,3,6,0,1,0,5,1,79,1,999,0,2,93.994,4.857
124,32,13,3,9,0,1,1,5,1,175,1,999,0,2,93.994,4.857
125,42,13,3,9,0,0,1,5,1,262,2,999,0,2,93.994,4.857
126,50,13,3,4,0,0,0,5,1,61,1,999,0,2,93.994,4.857
127,31,4,2,8,0,1,1,5,1,78,1,999,0,2,93.994,4.857
128,56,8,3,3,0,1,0,5,1,102,2,999,0,2,93.994,4.857
129,41,4,3,8,2,1,0,5,1,579,1,999,0,2,93.994,4.857
130,37,12,3,4,0,1,1,5,1,143,1,999,0,2,93.994,4.857
131,41,4,3,8,2,0,0,5,1,677,1,999,0,2,93.994,4.857
132,35,12,3,0,0,1,0,5,1,267,1,999,0,2,93.994,4.857
133,37,12,3,4,0,1,0,5,1,345,1,999,0,2,93.994,4.857
134,52,9,3,9,0,0,0,5,1,185,1,999,0,2,93.994,4.857
135,39,9,2,9,0,0,0,5,1,207,1,999,0,2,93.994,4.857
136,39,10,3,3,2,0,0,5,1,69,2,999,0,2,93.994,4.857
137,56,12,3,3,2,0,0,5,1,100,2,999,0,2,93.994,4.857
138,34,6,3,6,0,1,0,5,1,125,2,999,0,2,93.994,4.857
139,45,12,3,5,2,1,0,5,1,461,1,999,0,2,93.994,4.857
140,43,2,1,9,0,1,0,5,1,240,1,999,0,2,93.994,4.857
141,56,9,3,0,0,1,0,5,1,70,1,999,0,2,93.994,4.857
142,39,9,3,9,0,1,0,5,1,193,1,999,0,2,93.994,4.857
143,53,12,3,3,0,1,0,5,1,136,1,999,0,2,93.994,4.857
144,38,3,2,6,2,1,0,5,1,73,1,999,0,2,93.994,4.857
145,42,12,3,3,2,1,0,5,1,528,1,999,0,2,93.994,4.857
146,42,12,3,3,2,0,0,5,1,541,1,999,0,2,93.994,4.857
147,35,13,1,6,0,1,0,5,1,338,1,999,0,2,93.994,4.857
148,40,13,3,9,2,1,0,5,1,163,1,999,0,2,93.994,4.857
149,51,12,3,3,0,1,0,5,1,87,1,999,0,2,93.994,4.857
150,60,12,3,5,2,0,0,5,1,301,1,999,0,2,93.994,4.857
151,56,11,3,0,2,1,0,5,1,46,1,999,0,2,93.994,4.857
152,39,6,2,6,2,1,0,5,1,52,1,999,0,2,93.994,4.857
153,56,11,3,0,2,0,0,5,1,204,1,999,0,2,93.994,4.857
154,40,12,3,0,0,1,1,5,1,155,1,999,0,2,93.994,4.857
155,36,12,3,5,0,1,1,5,1,98,1,999,0,2,93.994,4.857
156,51,12,3,0,2,1,0,5,1,71,1,999,0,2,93.994,4.857
157,51,12,3,0,2,0,0,5,1,243,1,999,0,2,93.994,4.857
158,43,4,1,8,0,1,0,5,1,186,2,999,0,2,93.994,4.857
159,59,6,3,6,0,0,0,5,1,579,2,999,0,2,93.994,4.857
160,24,9,1,9,0,1,0,5,1,165,2,999,0,2,93.994,4.857
161,37,12,1,5,2,1,1,5,1,163,2,999,0,2,93.994,4.857
162,40,12,3,5,2,0,0,5,1,46,1,999,0,2,93.994,4.857
163,42,12,3,5,2,0,0,5,1,559,3,999,0,2,93.994,4.857
164,39,6,2,6,2,0,0,5,1,2033,1,999,0,2,93.994,4.857
165,37,11,3,4,0,0,0,5,1,85,1,999,0,2,93.994,4.857
166,38,6,3,6,0,1,1,5,1,506,1,999,0,2,93.994,4.857
167,56,13,2,0,2,0,0,5,1,114,2,999,0,2,93.994,4.857
168,40,12,3,0,0,0,0,5,1,114,2,999,0,2,93.994,4.857
169,54,9,2,9,0,1,0,5,1,843,2,999,0,2,93.994,4.857
170,43,12,3,6,2,0,1,5,1,181,1,999,0,2,93.994,4.857
171,36,6,3,6,2,0,0,5,1,427,1,999,0,2,93.994,4.857
172,45,4,3,9,0,1,1,5,1,292,1,999,0,2,93.994,4.857
173,42,13,1,9,2,0,0,5,1,192,1,999,0,2,93.994,4.857
174,43,6,3,6,0,0,0,5,1,93,3,999,0,2,93.994,4.857
175,46,9,3,5,0,0,0,5,1,128,2,999,0,2,93.994,4.857
176,44,6,3,6,0,1,1,5,1,107,1,999,0,2,93.994,4.857
177,51,13,1,4,0,0,0,5,1,303,2,999,0,2,93.994,4.857
178,28,6,3,6,0,1,0,5,1,81,1,999,0,2,93.994,4.857
179,37,12,3,5,0,0,0,5,1,270,1,999,0,2,93.994,4.857
180,34,4,3,6,0,0,0,5,1,228,1,999,0,2,93.994,4.857
181,46,12,3,4,2,1,0,5,1,240,1,999,0,2,93.994,4.857
182,42,12,3,5,0,1,1,5,1,673,2,999,0,2,93.994,4.857
183,36,13,3,9,0,1,0,5,1,233,3,999,0,2,93.994,4.857
184,54,12,3,3,2,0,0,5,1,102,1,999,0,2,93.994,4.857
185,57,9,3,9,0,0,0,5,1,461,1,999,0,2,93.994,4.857
186,51,4,3,4,2,0,0,5,1,250,1,999,0,2,93.994,4.857
187,54,8,3,6,2,0,0,5,1,130,1,999,0,2,93.994,4.857
188,49,12,3,3,2,0,0,5,1,252,1,999,0,2,93.994,4.857
189,34,13,3,9,0,1,0,5,1,138,1,999,0,2,93.994,4.857
190,41,4,3,8,0,0,0,5,1,412,1,999,0,2,93.994,4.857
191,38,12,1,5,0,1,0,5,1,179,2,999,0,2,93.994,4.857
192,45,9,2,9,0,0,0,5,1,19,2,999,0,2,93.994,4.857
193,42,4,3,9,0,0,0,5,1,228,2,999,0,2,93.994,4.857
194,34,12,1,5,2,1,0,5,1,55,1,999,0,2,93.994,4.857
195,48,12,3,3,0,1,0,5,1,717,1,999,0,2,93.994,4.857
196,37,13,3,6,2,1,0,5,1,313,1,999,0,2,93.994,4.857
197,34,12,1,5,2,0,0,5,1,289,1,999,0,2,93.994,4.857
198,40,13,3,5,2,1,0,5,1,683,2,999,0,2,93.994,4.857
199,43,12,3,4,0,1,0,5,1,1077,1,999,0,2,93.994,4.857
200,33,6,3,6,0,0,0,5,1,146,2,999,0,2,93.994,4.857
201,32,6,1,4,0,0,0,5,1,167,1,999,0,2,93.994,4.857
202,39,12,3,6,0,1,0,5,1,356,2,999,0,2,93.994,4.857
203,43,13,3,0,0,0,0,5,1,277,1,999,0,2,93.994,4.857
204,44,12,3,5,0,1,0,5,1,172,1,999,0,2,93.994,4.857
205,35,5,1,9,2,0,0,5,1,218,1,999,0,2,93.994,4.857
206,35,5,1,9,2,1,1,5,1,217,1,999,0,2,93.994,4.857
207,35,2,3,8,0,0,0,5,1,67,1,999,0,2,93.994,4.857
208,36,6,1,3,0,0,0,5,1,291,1,999,0,2,93.994,4.857
209,35,5,1,9,2,1,0,5,1,248,1,999,0,2,93.994,4.857
210,36,5,1,5,0,1,0,5,1,256,1,999,0,2,93.994,4.857
211,55,10,2,9,0,0,0,5,1,286,1,999,0,2,93.994,4.857
212,59,13,3,9,0,0,0,5,1,477,1,999,0,2,93.994,4.857
213,57,8,3,0,2,0,0,5,1,611,2,999,0,2,93.994,4.857
214,39,12,3,8,2,1,0,5,1,471,1,999,0,2,93.994,4.857
215,39,10,3,3,2,1,0,5,1,381,2,999,0,2,93.994,4.857
216,30,12,1,0,0,1,0,5,1,251,1,999,0,2,93.994,4.857
217,30,12,1,0,0,1,1,5,1,408,1,999,0,2,93.994,4.857
218,50,10,3,3,2,0,0,5,1,287,1,999,0,2,93.994,4.857
219,40,6,3,6,0,0,0,5,1,322,3,999,0,2,93.994,4.857
220,35,13,3,6,0,1,0,5,1,216,2,999,0,2,93.994,4.857
221,43,4,3,0,2,0,0,5,1,366,2,999,0,2,93.994,4.857
222,36,6,1,4,2,1,0,5,1,210,1,999,0,2,93.994,4.857
223,46,4,3,3,2,1,0,5,1,288,1,999,0,2,93.994,4.857
224,40,4,3,5,0,0,0,5,1,168,1,999,0,2,93.994,4.857
225,58,8,3,9,0,0,0,5,1,132,1,999,0,2,93.994,4.857
226,42,4,3,9,0,0,0,5,1,64,2,999,0,2,93.994,4.857
227,35,13,1,9,0,0,0,5,1,209,2,999,0,2,93.994,4.857
228,43,8,3,3,2,0,0,5,1,410,3,999,0,2,93.994,4.857
229,45,12,3,3,0,1,1,5,1,177,1,999,0,2,93.994,4.857
230,39,13,3,8,0,1,0,5,1,580,2,999,0,2,93.994,4.857
231,50,6,2,8,0,1,0,5,1,165,1,999,0,2,93.994,4.857
232,32,9,2,3,2,1,0,5,1,127,2,999,0,2,93.994,4.857
233,39,13,3,6,2,0,0,5,1,357,1,999,0,2,93.994,4.857
234,52,7,3,9,2,0,0,5,1,175,1,999,0,2,93.994,4.857
235,44,13,3,8,0,1,0,5,1,300,1,999,0,2,93.994,4.857
236,56,12,3,3,0,0,0,5,1,136,1,999,0,2,93.994,4.857
237,48,13,3,6,0,0,0,5,1,125,2,999,0,2,93.994,4.857
238,33,6,3,6,2,0,1,5,1,189,2,999,0,2,93.994,4.857
239,43,9,3,9,2,0,1,5,1,213,3,999,0,2,93.994,4.857
240,57,8,3,6,0,0,0,5,1,238,2,999,0,2,93.994,4.857
241,36,4,1,8,0,0,0,5,1,124,1,999,0,2,93.994,4.857
242,34,9,3,9,0,1,0,5,1,18,1,999,0,2,93.994,4.857
243,34,6,1,5,0,0,0,5,1,730,2,999,0,2,93.994,4.857
244,30,4,3,9,2,0,0,5,1,40,1,999,0,2,93.994,4.857
245,33,6,2,0,0,0,0,5,1,181,2,999,0,2,93.994,4.857
246,32,4,1,8,0,0,0,5,1,79,1,999,0,2,93.994,4.857
247,36,4,1,6,0,1,0,5,1,142,2,999,0,2,93.994,4.857
248,36,12,1,6,0,0,1,5,1,389,1,999,0,2,93.994,4.857
249,33,6,1,6,0,0,0,5,1,702,1,999,0,2,93.994,4.857
250,40,4,2,8,0,0,0,5,1,151,1,999,0,2,93.994,4.857
251,41,12,3,3,0,1,0,5,1,211,1,999,0,2,93.994,4.857
252,51,6,3,4,0,1,0,5,1,117,1,999,0,2,93.994,4.857
253,36,4,3,8,0,1,0,5,1,232,3,999,0,2,93.994,4.857
254,28,6,3,0,0,0,0,5,1,408,2,999,0,2,93.994,4.857
255,53,6,3,6,0,1,1,5,1,370,3,999,0,2,93.994,4.857
256,58,12,3,5,2,1,0,5,1,179,2,999,0,2,93.994,4.857
257,45,9,3,5,0,0,1,5,1,46,1,999,0,2,93.994,4.857
258,43,4,3,0,0,1,0,5,1,200,1,999,0,2,93.994,4.857
259,33,13,3,6,0,0,1,5,1,50,1,999,0,2,93.994,4.857
260,33,13,3,6,0,0,1,5,1,181,1,999,0,2,93.994,4.857
261,27,12,1,4,0,2,2,5,1,119,1,999,0,2,93.994,4.857
262,42,4,3,6,0,0,0,5,1,361,1,999,0,2,93.994,4.857
263,43,13,2,5,0,0,0,5,1,73,3,999,0,2,93.994,4.857
264,42,13,3,9,0,0,0,5,1,67,2,999,0,2,93.994,4.857
265,27,12,1,4,0,0,0,5,1,350,1,999,0,2,93.994,4.857
266,34,7,1,9,0,1,0,5,1,150,2,999,0,2,93.994,4.857
267,31,5,1,9,2,0,0,5,1,332,2,999,0,2,93.994,4.857
268,54,9,2,9,0,0,0,5,1,611,2,999,0,2,93.994,4.857
269,40,7,3,3,2,0,0,5,1,58,3,999,0,2,93.994,4.857
270,52,2,3,6,2,1,0,5,1,151,1,999,0,2,93.994,4.857
271,47,9,2,9,0,0,0,5,1,89,2,999,0,2,93.994,4.857
272,49,10,3,5,2,0,0,5,1,152,1,999,0,2,93.994,4.857
273,32,13,1,6,0,0,0,5,1,611,2,999,0,2,93.994,4.857
274,49,10,1,6,2,1,1,5,1,110,2,999,0,2,93.994,4.857
275,50,12,3,5,2,0,0,5,1,463,1,999,0,2,93.994,4.857
276,34,6,3,6,0,0,0,5,1,962,1,999,0,2,93.994,4.857
277,55,12,3,3,2,0,0,5,1,102,2,999,0,2,93.994,4.857
278,47,4,1,5,0,0,0,5,1,10,4,999,0,2,93.994,4.857
279,51,8,3,8,0,0,0,5,1,118,3,999,0,2,93.994,4.857
280,47,12,3,4,0,0,0,5,1,92,2,999,0,2,93.994,4.857
281,56,4,3,3,0,1,0,5,1,143,3,999,0,2,93.994,4.857
282,53,13,3,5,0,0,0,5,1,189,3,999,0,2,93.994,4.857
283,36,12,3,5,0,1,0,5,1,75,2,999,0,2,93.994,4.857
284,42,12,2,5,0,1,0,5,1,189,2,999,0,2,93.994,4.857
285,44,12,2,4,0,0,0,5,1,55,2,999,0,2,93.994,4.857
286,39,10,3,5,0,1,0,5,1,935,3,999,0,2,93.994,4.857
287,37,13,1,6,0,1,1,5,1,56,2,999,0,2,93.994,4.857
288,60,12,3,0,2,1,0,5,1,5,2,999,0,2,93.994,4.857
289,36,6,3,6,0,0,0,5,1,225,2,999,0,2,93.994,4.857
290,42,9,2,9,0,1,0,5,1,125,2,999,0,2,93.994,4.857
291,31,13,3,6,0,1,1,5,1,286,2,999,0,2,93.994,4.857
292,53,4,2,8,2,0,1,5,1,206,2,999,0,2,93.994,4.857
293,45,12,3,3,0,1,0,5,1,164,2,999,0,2,93.994,4.857
294,37,4,1,8,0,1,0,5,1,98,2,999,0,2,93.994,4.857
295,47,7,3,8,0,0,0,5,1,446,2,999,0,2,93.994,4.857
296,49,12,2,6,0,0,1,5,1,742,2,999,0,2,93.994,4.857
297,36,13,3,9,0,1,0,5,1,120,2,999,0,2,93.994,4.857
298,35,6,2,6,0,0,0,5,1,122,3,999,0,2,93.994,4.857
299,38,3,3,0,2,0,0,5,1,362,4,999,0,2,93.994,4.857
300,38,6,1,6,2,0,0,5,1,357,2,999,0,2,93.994,4.857
301,50,12,2,6,2,0,1,5,1,200,2,999,0,2,93.994,4.857
302,59,8,3,8,2,0,0,5,1,107,2,999,0,2,93.994,4.857
303,43,3,3,0,0,1,0,5,1,267,2,999,0,2,93.994,4.857
304,42,13,3,6,0,1,0,5,1,248,2,999,0,2,93.994,4.857
305,40,13,3,4,2,1,0,5,1,215,2,999,0,2,93.994,4.857
306,46,12,3,0,2,0,0,5,1,209,2,999,0,2,93.994,4.857
307,57,10,2,3,0,1,1,5,1,205,2,999,0,2,93.994,4.857
308,42,13,3,9,0,1,0,5,1,261,3,999,0,2,93.994,4.857
309,41,12,3,3,0,1,0,5,1,83,2,999,0,2,93.994,4.857
310,54,9,2,9,0,1,0,5,1,106,3,999,0,2,93.994,4.857
311,27,13,1,9,0,0,0,5,1,106,2,999,0,2,93.994,4.857
312,36,13,3,6,0,0,0,5,1,108,2,999,0,2,93.994,4.857
313,58,12,3,8,2,1,0,5,1,214,2,999,0,2,93.994,4.857
314,40,9,3,9,2,1,0,5,1,358,2,999,0,2,93.994,4.857
315,34,13,1,5,2,0,0,5,1,453,2,999,0,2,93.994,4.857
316,33,13,2,6,0,0,0,5,1,364,2,999,0,2,93.994,4.857
317,56,8,3,4,0,0,0,5,1,136,2,999,0,2,93.994,4.857
318,42,12,3,5,0,0,0,5,1,173,2,999,0,2,93.994,4.857
319,43,6,3,6,0,1,0,5,1,241,2,999,0,2,93.994,4.857
320,54,9,1,5,0,1,0,5,1,224,3,999,0,2,93.994,4.857
321,53,13,1,4,0,1,1,5,1,148,2,999,0,2,93.994,4.857
322,42,4,1,0,0,0,0,5,1,230,2,999,0,2,93.994,4.857
323,40,6,3,4,2,0,0,5,1,199,3,999,0,2,93.994,4.857
324,54,4,3,8,0,1,1,5,1,196,2,999,0,2,93.994,4.857
325,40,10,1,8,0,0,0,5,1,111,4,999,0,2,93.994,4.857
326,26,13,1,9,0,1,0,5,1,231,3,999,0,2,93.994,4.857
327,33,13,3,6,0,0,0,5,1,316,3,999,0,2,93.994,4.857
328,35,12,3,5,2,0,0,5,1,240,2,999,0,2,93.994,4.857
329,36,13,3,6,0,0,0,5,1,669,3,999,0,2,93.994,4.857
330,29,6,1,6,0,1,0,5,1,425,2,999,0,2,93.994,4.857
331,36,12,3,5,0,1,0,5,1,121,2,999,0,2,93.994,4.857
332,35,9,3,6,0,1,0,5,1,174,5,999,0,2,93.994,4.857
333,50,7,1,9,0,0,1,5,1,88,5,999,0,2,93.994,4.857
334,46,6,3,6,2,1,0,5,1,313,3,999,0,2,93.994,4.857
335,49,11,3,6,0,1,0,5,1,135,4,999,0,2,93.994,4.857
336,42,4,1,8,2,1,0,5,1,152,2,999,0,2,93.994,4.857
337,36,12,1,6,0,1,1,5,1,402,3,999,0,2,93.994,4.857
338,55,12,3,5,2,1,0,5,1,221,2,999,0,2,93.994,4.857
339,41,9,3,9,2,0,0,5,1,213,2,999,0,2,93.994,4.857
340,57,9,3,8,2,1,0,5,1,144,3,999,0,2,93.994,4.857
341,32,6,1,6,0,1,0,5,1,158,3,999,0,2,93.994,4.857
342,49,13,3,5,0,0,0,5,1,220,3,999,0,2,93.994,4.857
343,57,3,3,0,2,1,0,5,1,325,2,999,0,2,93.994,4.857
344,58,12,2,3,0,1,0,5,1,254,2,999,0,2,93.994,4.857
345,52,4,3,6,0,1,0,5,1,503,2,999,0,2,93.994,4.857
346,50,6,2,8,0,0,0,5,1,680,2,999,0,2,93.994,4.857
347,41,12,1,5,2,1,0,5,1,421,4,999,0,2,93.994,4.857
348,33,11,3,9,0,1,0,5,1,130,3,999,0,2,93.994,4.857
349,57,12,3,3,0,0,0,5,1,164,2,999,0,2,93.994,4.857
350,48,12,3,4,2,0,0,5,1,174,3,999,0,2,93.994,4.857
351,55,4,3,8,0,0,0,5,1,113,2,999,0,2,93.994,4.857
352,38,9,3,9,0,0,0,5,1,195,2,999,0,2,93.994,4.857
353,38,6,3,6,0,1,0,5,1,347,3,999,0,2,93.994,4.857
354,53,13,3,9,0,1,0,5,1,208,2,999,0,2,93.994,4.857
355,43,2,1,9,0,0,0,5,1,404,4,999,0,2,93.994,4.857
356,36,12,1,6,0,0,0,5,1,396,2,999,0,2,93.994,4.857
357,32,12,3,5,0,0,0,5,1,98,2,999,0,2,93.994,4.857
358,33,6,3,3,0,0,0,5,1,229,3,999,0,2,93.994,4.857
359,58,11,3,3,0,1,0,5,1,350,2,999,0,2,93.994,4.857
360,40,2,2,6,2,0,0,5,2,88,3,999,0,2,93.994,4.857
361,57,9,3,9,0,1,0,5,2,379,2,999,0,2,93.994,4.857
362,45,4,3,6,0,1,0,5,2,168,3,999,0,2,93.994,4.857
363,42,12,3,3,2,1,0,5,2,190,3,999,0,2,93.994,4.857
364,46,13,3,9,0,1,0,5,2,158,1,999,0,2,93.994,4.857
